Agency,Slug,Title,Chapter,Word Count
Federal Financial Institutions Examination Council,federal-financial-institutions-examination-council,12,XI,5389880
Federal Labor Relations Authority,federal-labor-relations-authority,5,XLIX,1457374
Federal Labor Relations Authority,federal-labor-relations-authority,22,XIV,881604
Federal Housing Finance Agency,federal-housing-finance-agency,5,LXXX,1457374
Department of Defense,defense-department,40,VII,13426474
General Counsel of the Federal Labor Relations Authority,general-counsel-of-the-federal-labor-relations-authority,5,XIV,1457374
Federal Mediation and Conciliation Service,federal-mediation-and-conciliation-service,5,CIII,1457374
Federal Deposit Insurance Corporation,federal-deposit-insurance-corporation,12,III,5389880
Federal Mine Safety and Health Review Commission,federal-mine-safety-and-health-review-commission,5,LXXIV,1457374
Federal Service Impasses Panel ,federal-service-impasses-panel,5,XIV,1457374
Federal Financing Bank,federal-financing-bank,12,VIII,5389880
Federal Maritime Commission,federal-maritime-commission,46,IV,1679332
Administrative Committee of the Federal Register,federal-register-administrative-committee,1,I,63649
Federal Housing Finance Agency,federal-housing-finance-agency,12,XII,5389880
Federal Retirement Thrift Investment Board,federal-retirement-thrift-investment-board,5,LXXVI,1457374
Federal Mediation and Conciliation Service,federal-mediation-and-conciliation-service,29,XII,3675576
Federal Trade Commission,federal-trade-commission,5,XLVII,1457374
Board of Governors of the Federal Reserve System,board-of-governors-of-the-federal-reserve-system,5,LVIII,1457374
Federal Retirement Thrift Investment Board,federal-retirement-thrift-investment-board,5,VI,1457374
Federal Trade Commission,federal-trade-commission,16,I,872833
Environmental Protection Agency,environmental-protection-agency,40,VII,13426474
Federal Mine Safety and Health Review Commission,federal-mine-safety-and-health-review-commission,29,XXVII,3675576
Commission of Fine Arts,commission-of-fine-arts,45,XXI,2001296
Foreign Service Grievance Board,foreign-service-grievance-board,22,IX,881604
General Services Administration,general-services-administration,5,LVII,1457374
Government Accountability Office,government-accountability-office,4,I,56806
Federal Reserve System,federal-reserve-system,12,II,5389880
General Services Administration,general-services-administration,41,105,637940
First Responder Network Authority,first-responder-network-authority,47,V,2079582
Gulf Coast Ecosystem Restoration Council,gulf-coast-ecosystem-restoration-council,2,LIX,305159
Civilian Board of Contract Appeals,civilian-board-of-contract-appeals,48,61,2390823
Office of Government Ethics,government-ethics-office,5,XVI,1457374
Department of Health and Human Services,health-and-human-services-department,2,III,305159
Federal Permitting Improvement Steering Council,federal-permitting-improvement-steering-council,40,IX,13426474
General Services Administration,general-services-administration,48,5,2390823
Council on Environmental Quality,council-on-environmental-quality,40,V,13426474
Environmental Protection Agency,environmental-protection-agency,40,I,13426474
Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,42,IV,2995800
Financial Stability Oversight Council,financial-stability-oversight-council,12,XIII,5389880
Harry S. Truman Scholarship Foundation,harry-s-truman-scholarship-foundation,45,XVIII,2001296
Department of Health and Human Services,health-and-human-services-department,5,XLV,1457374
Indian Health Service,indian-health-service,25,V,756051
Indian Health Service,indian-health-service,42,I,2995800
Administration for Children and Families,children-and-families-administration,45,XIII,2001296
Department of Homeland Security,homeland-security-department,2,XXX,305159
Department of Health and Human Services,health-and-human-services-department,48,3,2390823
Office of Administration for Children and Families Community Services,office-of-administration-for-children-and-families-community-services,45,X,2001296
Office of Administration for Children and Families Refugee Resettlement,refugee-resettlement-office,45,IV,2001296
Food and Drug Administration,food-and-drug-administration,21,I,2387419
Department of Homeland Security,homeland-security-department,5,XXXVI,1457374
Office of Administration for Children and Families Family Assistance (Assistance Programs),office-of-administration-for-children-and-families-family-assistance-(assistance-programs),45,II,2001296
Office of Administration for Children and Families Child Support Enforcement (Child Support Enforcement Program),office-of-administration-for-children-and-families-child-support-enforcement-(child-support-enforcement-program),45,III,2001296
Department of Homeland Security,homeland-security-department,8,I,775691
Office of Inspector General-Health Care,office-of-inspector-general-health-care,42,V,2995800
Federal Emergency Management Agency,federal-emergency-management-agency,44,I,316207
Office of the Secretary of Homeland Security,office-of-the-secretary-of-homeland-security,6,I,243433
Secret Service,secret-service,31,IV,1267926
Coast Guard,coast-guard,46,I,1679332
Coast Guard,coast-guard,49,IV,3605253
Coast Guard,coast-guard,33,I,1261876
Coast Guard (Great Lakes Pilotage),coast-guard-(great-lakes-pilotage),46,III,1679332
U.S. Customs and Border Protection,u-s-customs-and-border-protection,19,I,1213321
Department of Homeland Security Acquisition Regulation,department-of-homeland-security-acquisition-regulation,48,30,2390823
Department of Housing and Urban Development,housing-and-urban-development-department,2,XXIV,305159
Human Resources Management System (Homeland Security - Office of Personnel Management),human-resources-management-system-(homeland-security---office-of-personnel-management),5,XCVII,1457374
Federal Law Enforcement Training Center,federal-law-enforcement-training-center,31,VII,1267926
Department of Housing and Urban Development,housing-and-urban-development-department,5,LXV,1457374
Department of Housing and Urban Development,housing-and-urban-development-department,24,XV,1698221
Government National Mortgage Association,government-national-mortgage-association,24,III,1698221
Office of Assistant Secretary for Housing - Federal Housing Commissioner,office-of-assistant-secretary-for-housing---federal-housing-commissioner,24,II,1698221
Office of Assistant Secretary for Housing - Federal Housing Commissioner,office-of-assistant-secretary-for-housing---federal-housing-commissioner,24,XX,1698221
Office of Assistant Secretary for Housing - Federal Housing Commissioner,office-of-assistant-secretary-for-housing---federal-housing-commissioner,24,VIII,1698221
Department of Housing and Urban Development,housing-and-urban-development-department,48,24,2390823
Office of Assistant Secretary for Public and Indian Housing,office-of-assistant-secretary-for-public-and-indian-housing,24,IX,1698221
